amenity	cuisine	takeaway	name
fast_food	asian	yes	Planet Sushi
fast_food	asian	yes	Sakuraame
fast_food	asian	yes	Snack Leon
fast_food	asian	yes	Thaï Express
fast_food	asian	yes	Tokyo Express
fast_food	asian	yes	Yukita
fast_food	asian		Yongfa
fast_food	asian		Zaatar
fast_food	asian		Zhang's Gourmets
fast_food	asiatique		Le Mékong
fast_food	automates		Snack Express
fast_food	bagel		Bagel Chef
fast_food	bagel		Bagel corner
fast_food	bagel		Bagel Corner
fast_food	bagel		Bagel Corner
fast_food	bagel		Bagel Corner
fast_food	bagel		Bagel Corner
fast_food	bagel		Bagel & Goodies
fast_food	bagel		Bagels & Salad Bar
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagelstein
fast_food	bagel		Bagel Store
fast_food	bagel		BChef
fast_food	bagel		BChef
fast_food	bagel		Begelstein
fast_food	bagel		best bagels
fast_food	bagel		Best Bagels Lyon Terraux
fast_food	bagel;burger;salad		Factory & Co
fast_food	bagel;burger;salad	yes	BCHEF
fast_food	bagel;burger;sandwich	yes	O'Corner
fast_food	bagel;burrito;cookies;muffins;gauffres	only	Will Be
fast_food	bagel		Coffee and Cookies
fast_food	bagel;coffee_shop;crepe;american;french;diner;fish_and_chips;cake;italian_pizza;breakfast;sandwich;tea;bread		Pørtland by Nicolas Adam
fast_food	bagel;crepe;friture;pancake;sandwich;ice_cream		Buvette Tin Tin
fast_food	bagel;crepe	only	Django
